2026-04-18T08:31:07.546278+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T08:31:43.763255+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:32:19.800985+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:32:56.970889+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:33:32.538173+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:34:17.018082+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:34:52.736987+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:35:28.551165+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:36:32.224956+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:37:08.158321+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:37:43.035185+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:38:29.886749+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:39:07.112370+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:39:42.162121+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:40:33.595750+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:41:09.100319+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:41:44.616564+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:42:34.455864+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:43:10.488411+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:43:46.235548+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:44:32.820310+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:45:08.141296+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:45:43.563970+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:46:30.744730+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:47:06.666250+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:47:41.901064+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:48:17.102013+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:48:51.922589+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:49:27.230879+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:50:02.664866+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:50:38.418924+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:51:14.561538+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:51:49.909578+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:52:25.740614+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:53:00.622077+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T08:53:35.954384+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T08:54:11.241569+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T08:54:48.059183+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T08:55:32.125783+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T08:56:07.386960+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T08:56:43.184099+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-18T08:57:27.533680+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-18T08:58:03.502481+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-18T08:58:39.798265+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-18T08:59:39.765043+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-18T09:00:15.188706+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-18T09:00:50.285270+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-18T09:01:44.616802+00:00 | Daisies | Justin Bieber | source:amperwave-api
