2026-04-11T19:38:55.571026+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-11T19:39:30.047430+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:40:04.773209+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:41:04.304285+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:41:42.002727+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:42:17.130384+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:43:13.721145+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:43:48.242720+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:44:25.432885+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:45:00.412695+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:45:34.288114+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:46:08.921451+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:46:43.646637+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-11T19:47:39.982800+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:48:16.350166+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:48:50.434851+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:49:24.438401+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:49:58.974179+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:50:33.217650+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-11T19:51:07.758692+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:51:42.509656+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:52:17.181982+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:52:52.598319+00:00 | Wow | Post Malone | source:amperwave-api
2026-04-11T19:53:27.064570+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:54:01.640518+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:54:37.294605+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:55:27.449465+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:56:04.745809+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:56:58.994336+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-11T19:57:38.994805+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T19:58:37.534948+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T19:59:12.782185+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T19:59:47.256364+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-11T20:00:48.514751+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:01:22.569632+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:02:24.661886+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:02:59.875211+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-11T20:04:01.288731+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:04:35.886707+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:05:10.815623+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-11T20:05:45.538504+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:06:20.014573+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:06:54.578782+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:07:30.729310+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:08:05.357081+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-11T20:08:40.238307+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:09:14.827467+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:09:49.939813+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:10:24.482213+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:10:58.920993+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-11T20:30:58.913703+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T20:31:55.547395+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T20:32:32.491685+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T20:33:08.097151+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-11T20:34:07.749152+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T20:34:42.329429+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T20:35:16.830666+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T20:35:54.291162+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-11T20:36:52.360839+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:37:29.084750+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:38:03.802524+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:38:38.383667+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:39:13.509463+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:39:48.196166+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:40:22.533577+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:40:58.167648+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:41:32.868132+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:42:07.406064+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:42:43.066361+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:43:17.751672+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:43:52.435345+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:44:27.833811+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:45:03.379369+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-11T20:45:37.746659+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T20:46:13.629516+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T20:46:53.364026+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-11T20:48:29.388439+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T20:49:04.726023+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T20:49:42.393091+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T20:50:23.784388+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T20:51:18.392655+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T20:51:56.940972+00:00 | Side To Side (Feat. Nicki Minaj) | Ariana Grande | source:amperwave-api
2026-04-11T20:52:32.073616+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T20:53:06.491890+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T20:53:41.213253+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T20:54:16.118996+00:00 | Lovin On Me | Jack Harlow | source:amperwave-api
2026-04-11T20:54:50.871249+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T20:55:25.066452+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T20:56:00.133771+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T20:56:34.379825+00:00 | Swim | Bts | source:amperwave-api
2026-04-11T20:57:09.884303+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-11T20:57:46.789707+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-11T20:58:21.601163+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-11T20:58:56.320946+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-11T20:59:31.182500+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
