2026-04-12T15:31:17.093958+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-12T15:32:16.720106+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T15:32:50.474390+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T15:33:25.142790+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T15:33:59.291662+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T15:34:32.986037+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-12T15:35:07.401433+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:35:41.415519+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:36:32.561244+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:37:11.485628+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:37:45.672689+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:38:20.414662+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:38:54.361889+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:39:27.874878+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:40:01.372512+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:40:35.305206+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-12T15:41:09.185537+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T15:41:43.489726+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T15:42:18.219201+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T15:42:51.760303+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T15:43:25.560486+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T15:43:58.949853+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T15:44:54.306639+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T15:45:27.890807+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T15:46:07.330684+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-12T15:46:46.047649+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-12T15:47:20.356880+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-12T15:47:53.977273+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-12T15:48:28.764355+00:00 | Sorry Im Here For Someone Else | Benson Boone | source:amperwave-api
2026-04-12T15:49:24.246146+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:49:59.473218+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:50:33.581986+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:51:07.559924+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:51:41.802905+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:52:15.950916+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:52:51.766797+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:53:25.889303+00:00 | Dilemma | Nelly / Kelly Rowland | source:amperwave-api
2026-04-12T15:53:59.829806+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-12T15:54:33.464105+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-12T15:55:07.019618+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-12T15:55:40.701206+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-12T15:56:14.443062+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-12T15:56:48.093524+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-12T15:57:21.566186+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-12T15:57:56.229397+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-12T15:58:30.137796+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-12T15:59:04.273245+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-12T15:59:38.509139+00:00 | Vampire | Olivia Rodrigo | source:amperwave-api
2026-04-12T16:00:23.773968+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T16:01:02.136227+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T16:01:37.063294+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T16:02:16.147939+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T16:02:50.957388+00:00 | I Had Some Help | Post Malone Ft Morgan Wallen | source:amperwave-api
2026-04-12T16:03:45.134541+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T16:04:20.926037+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T16:04:54.790565+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T16:05:28.392939+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T16:06:02.289057+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T16:06:57.530830+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T16:07:32.924320+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T16:08:26.127740+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-12T16:09:06.117683+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T16:09:40.083311+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T16:10:14.284688+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T16:10:48.769563+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T16:11:23.699630+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T16:11:58.507690+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T16:12:39.225321+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-12T16:13:13.429790+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T16:13:47.517230+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T16:14:21.198580+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T16:14:55.712704+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T16:15:29.546193+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T16:16:27.050758+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T16:17:02.898223+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T16:17:36.752214+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T16:18:12.256187+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T16:18:46.803251+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T16:19:20.491600+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-12T16:19:54.270617+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:20:28.862350+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:21:26.701212+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:22:03.550476+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:22:37.516353+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:23:14.938912+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:23:49.202321+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:24:22.978181+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:24:57.275488+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:25:31.927352+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:26:07.177279+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-12T16:26:41.380124+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T16:27:20.317227+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T16:27:54.360983+00:00 | Yukon | Justin Bieber | source:amperwave-api
