2026-04-12T19:01:08.991470+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:01:44.751204+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:02:20.410592+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:02:55.239255+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:03:31.653349+00:00 | We Cant Be Friends | Ariana Grande | source:amperwave-api
2026-04-12T19:04:06.972834+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:04:42.502218+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:05:17.480445+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:05:52.536192+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:06:28.279377+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-12T19:07:21.593631+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:08:00.093203+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:08:51.248780+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:09:33.890656+00:00 | Dynamite | Taio Cruz | source:amperwave-api
2026-04-12T19:10:09.122047+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T19:11:08.824779+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T19:11:43.776521+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T19:12:18.931345+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-12T19:12:53.542574+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:13:28.443264+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:14:26.875108+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:15:02.685258+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:16:04.309150+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-12T19:16:39.324077+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:17:14.677738+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:17:49.292460+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:18:24.448188+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:18:59.634833+00:00 | Rockstar (Feat. 21 Savage) | Post Malone | source:amperwave-api
2026-04-12T19:19:34.600062+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:20:11.044580+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:20:46.588689+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:21:21.947854+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:23:02.978187+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:23:37.472200+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:24:36.927576+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:25:13.407564+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:26:14.089138+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:26:49.684743+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:27:25.973782+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-12T19:28:02.143292+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-12T19:28:54.061357+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-12T19:29:33.844377+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-12T19:30:08.993379+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-12T19:31:09.659499+00:00 | Messy | Lola Young | source:amperwave-api
2026-04-12T19:31:44.816449+00:00 | Messy | Lola Young | source:amperwave-api
2026-04-12T19:32:19.818566+00:00 | Messy | Lola Young | source:amperwave-api
2026-04-12T19:32:55.017884+00:00 | Messy | Lola Young | source:amperwave-api
2026-04-12T19:33:31.651389+00:00 | Messy | Lola Young | source:amperwave-api
2026-04-12T19:34:07.753721+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T19:34:43.306248+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T19:35:18.524305+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T19:35:54.435250+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T19:36:30.187684+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-12T19:37:06.425011+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:37:42.318952+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:38:22.134060+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:39:02.483944+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:39:38.663257+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:40:13.613823+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:40:56.352876+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:41:44.930586+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:42:24.432095+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:43:00.699933+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:43:59.597593+00:00 | Swim | Bts | source:amperwave-api
2026-04-12T19:44:34.377403+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:45:08.890264+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:45:44.167710+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:46:36.667576+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:47:16.551265+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:47:50.985810+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-12T19:48:27.511881+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:49:03.416459+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:49:38.877806+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:50:13.951275+00:00 | Bittersweet | Madison Beer | source:amperwave-api
2026-04-12T19:50:49.167797+00:00 | Bittersweet | Madison Beer | source:amperwave-api
