2026-04-19T14:31:30.136104+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T14:32:05.935919+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-19T14:32:40.925984+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-19T14:33:15.650558+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-19T14:33:56.356835+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-19T14:34:32.363706+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-19T14:35:41.488729+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T14:36:22.024432+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T14:36:56.787446+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T14:37:32.668398+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T14:38:07.728015+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T14:38:42.866875+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T14:42:45.055551+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T14:43:45.608662+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T14:46:14.426776+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T14:48:08.471853+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T14:49:59.195554+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T14:52:05.122176+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-19T14:53:43.582149+00:00 | The Monster (Feat. Rihanna) | Eminem | source:amperwave-api
2026-04-19T14:55:54.093250+00:00 | The Monster (Feat. Rihanna) | Eminem | source:amperwave-api
2026-04-19T14:57:53.333527+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-19T14:59:47.414380+00:00 | Adore You | Harry Styles | source:amperwave-api
2026-04-19T15:01:13.329259+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-19T15:03:15.922637+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-19T15:04:58.284757+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T15:06:34.144897+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T15:08:01.553728+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-19T15:09:20.779134+00:00 | Whatcha Say | Jason Derulo | source:amperwave-api
2026-04-19T15:10:57.755141+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T15:12:33.746924+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T15:13:28.466298+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-19T15:14:36.857886+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:15:17.470699+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:15:57.977053+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:16:40.197309+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:17:20.929415+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T15:18:02.098082+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:19:03.178259+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:19:44.692413+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:20:38.471962+00:00 | Dont Start Now | Dua Lipa | source:amperwave-api
2026-04-19T15:21:18.402029+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:21:59.482699+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:23:01.204954+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:23:43.324404+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:24:24.438844+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:25:06.418165+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:25:49.337065+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T15:26:29.164211+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T15:27:10.011672+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T15:27:49.877407+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T15:28:32.955682+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T15:29:13.389906+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T15:29:55.807411+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-19T15:30:35.814035+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-19T15:31:33.758411+00:00 | First Class | Jack Harlow | source:amperwave-api
2026-04-19T15:32:13.543436+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-19T15:32:54.805735+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-19T15:34:03.209538+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-19T15:34:42.127310+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-19T15:35:26.378470+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-19T15:36:06.739295+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T15:36:49.110036+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T15:37:51.602070+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T15:38:32.125168+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T15:39:22.303558+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T15:40:02.252793+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T15:40:43.337229+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T15:41:52.372352+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T15:42:33.228048+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T15:43:14.554893+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T15:43:54.831116+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T15:44:40.796810+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T15:45:20.755330+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T15:46:02.493639+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T15:46:42.170484+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T15:47:23.281061+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
