2026-04-13T13:13:35.188622+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-13T13:14:21.326462+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-13T13:14:57.520126+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-13T13:15:33.077874+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-13T13:16:08.194389+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-13T13:16:43.639429+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-13T13:17:18.696645+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-13T13:17:54.264736+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-13T13:18:28.901498+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-13T13:19:03.937064+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-13T13:19:39.264689+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-13T13:20:14.910480+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-13T13:20:50.572361+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-13T13:21:35.616168+00:00 | We Found Love (Feat. Calvin Harris) | Rihanna | source:amperwave-api
2026-04-13T13:22:11.044770+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:22:45.875922+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:23:23.102628+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:23:58.378206+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:24:33.216695+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:25:10.407507+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:25:45.174609+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:26:46.797069+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:27:21.807682+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:27:56.979061+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T13:28:37.772962+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-13T13:29:13.277514+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-13T13:30:17.219900+00:00 | Mutt | Leon Thomas | source:amperwave-api
