2026-04-11T19:19:29.343304+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:20:04.691142+00:00 | Girls, Girls, Girls | Motley Crue | source:amperwave-api
2026-04-11T19:20:42.626808+00:00 | Last Resort | Papa Roach | source:amperwave-api
2026-04-11T19:21:17.526619+00:00 | Last Resort | Papa Roach | source:amperwave-api
2026-04-11T19:21:51.951601+00:00 | Last Resort | Papa Roach | source:amperwave-api
2026-04-11T19:22:26.348813+00:00 | Last Resort | Papa Roach | source:amperwave-api
2026-04-11T19:23:00.872380+00:00 | Last Resort | Papa Roach | source:amperwave-api
2026-04-11T19:23:59.737853+00:00 | Little Things | Bush | source:amperwave-api
2026-04-11T19:24:33.969988+00:00 | Little Things | Bush | source:amperwave-api
2026-04-11T19:25:08.876362+00:00 | Little Things | Bush | source:amperwave-api
2026-04-11T19:25:46.675769+00:00 | Little Things | Bush | source:amperwave-api
2026-04-11T19:26:45.850474+00:00 | Little Things | Bush | source:amperwave-api
2026-04-11T19:27:20.670573+00:00 | Little Things | Bush | source:amperwave-api
2026-04-11T19:27:55.522742+00:00 | Little Things | Bush | source:amperwave-api
2026-04-11T19:28:31.898017+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:29:06.904578+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:29:42.297299+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:30:17.377394+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:30:51.748742+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:31:27.293758+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:32:03.241322+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:32:38.709096+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:33:13.631434+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:33:48.279060+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:34:23.379666+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:34:57.308599+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:35:31.643024+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:36:06.984116+00:00 | Eruption/You Really Got Me | Van Halen | source:amperwave-api
2026-04-11T19:36:41.223150+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-11T19:37:15.303154+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-11T19:37:49.389385+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-11T19:38:23.498305+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-11T19:38:57.838895+00:00 | This Land | Des Rocs | source:amperwave-api
2026-04-11T19:39:32.489854+00:00 | Learn To Fly | Foo Fighters | source:amperwave-api
2026-04-11T19:40:08.723715+00:00 | Learn To Fly | Foo Fighters | source:amperwave-api
2026-04-11T19:41:08.544285+00:00 | Learn To Fly | Foo Fighters | source:amperwave-api
2026-04-11T19:41:45.010656+00:00 | Learn To Fly | Foo Fighters | source:amperwave-api
2026-04-11T19:42:19.420431+00:00 | Learn To Fly | Foo Fighters | source:amperwave-api
2026-04-11T19:43:16.297607+00:00 | Learn To Fly | Foo Fighters | source:amperwave-api
2026-04-11T19:43:50.563515+00:00 | Popular Monster | Falling In Reverse | source:amperwave-api
2026-04-11T19:44:28.594567+00:00 | Popular Monster | Falling In Reverse | source:amperwave-api
2026-04-11T19:45:02.433276+00:00 | Popular Monster | Falling In Reverse | source:amperwave-api
