2026-04-19T04:33:57.463880+00:00 | Teenage Dream | Katy Perry | source:amperwave-api
2026-04-19T04:34:58.131738+00:00 | Thrill Me | Rob Thomas | source:amperwave-api
2026-04-19T04:35:32.785302+00:00 | Thrill Me | Rob Thomas | source:amperwave-api
2026-04-19T04:36:07.984717+00:00 | Thrill Me | Rob Thomas | source:amperwave-api
2026-04-19T04:37:04.628381+00:00 | Calm Down | Rema Ft/Selena Gomez | source:amperwave-api
2026-04-19T04:37:39.862534+00:00 | Calm Down | Rema Ft/Selena Gomez | source:amperwave-api
2026-04-19T04:38:15.392827+00:00 | Calm Down | Rema Ft/Selena Gomez | source:amperwave-api
2026-04-19T04:39:03.227628+00:00 | Calm Down | Rema Ft/Selena Gomez | source:amperwave-api
2026-04-19T04:39:37.849765+00:00 | Calm Down | Rema Ft/Selena Gomez | source:amperwave-api
2026-04-19T04:40:12.712808+00:00 | Calm Down | Rema Ft/Selena Gomez | source:amperwave-api
2026-04-19T04:41:08.146950+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:41:42.862122+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:42:18.325567+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:42:53.692988+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:43:29.178747+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:44:04.342923+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:44:40.117716+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:45:15.384496+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:45:51.088667+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T04:46:26.189867+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-19T04:47:00.770684+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-19T04:47:35.700165+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-19T04:48:11.077789+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-19T04:48:45.870811+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-19T04:49:34.540230+00:00 | Birds Of A Feather | Billie Eilish | source:amperwave-api
2026-04-19T04:50:12.620067+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T04:50:47.824803+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T04:52:01.551658+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T04:52:37.329440+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T04:53:12.770043+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:53:47.974094+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:54:26.618490+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:55:01.709332+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:55:37.500090+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:56:36.081692+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T04:57:10.769813+00:00 | Wake Up Calling | Papa Roach | source:amperwave-api
2026-04-19T04:57:45.557475+00:00 | Wake Up Calling | Papa Roach | source:amperwave-api
2026-04-19T04:58:34.943428+00:00 | Wake Up Calling | Papa Roach | source:amperwave-api
2026-04-19T04:59:11.042931+00:00 | Wake Up Calling | Papa Roach | source:amperwave-api
2026-04-19T04:59:47.699241+00:00 | Wake Up Calling | Papa Roach | source:amperwave-api
2026-04-19T05:00:38.160877+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T05:01:13.095605+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T05:01:47.904941+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T05:02:22.629507+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T05:02:58.193790+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T05:03:33.306755+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T05:04:08.693832+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T05:04:45.831469+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T05:05:20.712684+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T05:05:55.430350+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T05:06:30.177936+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T05:07:04.953638+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T05:07:39.675491+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T05:08:14.785330+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T05:08:50.487510+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T05:09:38.222039+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T05:10:13.618478+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T05:10:48.545627+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T05:11:43.169601+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T05:12:19.625490+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T05:12:55.109102+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T05:13:46.668572+00:00 | The Great Divide | Noah Kahan | source:amperwave-api
2026-04-19T05:14:22.031321+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T05:14:56.793747+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T05:15:54.965192+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T05:16:31.677644+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T05:17:07.803215+00:00 | Wake Me Up | Avicii | source:amperwave-api
2026-04-19T05:18:03.331529+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T05:18:38.058047+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T05:19:12.861069+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T05:20:12.833188+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T05:20:47.281916+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T05:21:22.151668+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T05:21:57.399355+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-19T05:22:34.065216+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-19T05:23:08.629545+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-19T05:23:50.850239+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-19T05:24:26.038672+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T05:25:05.961104+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T05:25:40.967682+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
