2026-04-13T08:19:59.296820+00:00 | Mcarther With Tim Mcgraw, Eric Chruch, And Morgan Walle | Hardy | source:amperwave-api
2026-04-13T08:20:33.938907+00:00 | Mcarther With Tim Mcgraw, Eric Chruch, And Morgan Walle | Hardy | source:amperwave-api
2026-04-13T08:21:08.444794+00:00 | Mcarther With Tim Mcgraw, Eric Chruch, And Morgan Walle | Hardy | source:amperwave-api
2026-04-13T08:21:44.162916+00:00 | Mcarther With Tim Mcgraw, Eric Chruch, And Morgan Walle | Hardy | source:amperwave-api
2026-04-13T08:22:19.303497+00:00 | You Proof | Morgan Wallen | source:amperwave-api
2026-04-13T08:22:53.825739+00:00 | You Proof | Morgan Wallen | source:amperwave-api
2026-04-13T08:23:28.579816+00:00 | You Proof | Morgan Wallen | source:amperwave-api
2026-04-13T08:24:03.700536+00:00 | You Proof | Morgan Wallen | source:amperwave-api
2026-04-13T08:24:38.967816+00:00 | You Proof | Morgan Wallen | source:amperwave-api
2026-04-13T08:25:13.851655+00:00 | Straight For The Heart | Alexandra Kay | source:amperwave-api
2026-04-13T08:25:48.521387+00:00 | Straight For The Heart | Alexandra Kay | source:amperwave-api
2026-04-13T08:26:23.625806+00:00 | Straight For The Heart | Alexandra Kay | source:amperwave-api
2026-04-13T08:26:58.285525+00:00 | Straight For The Heart | Alexandra Kay | source:amperwave-api
2026-04-13T08:27:33.178500+00:00 | Straight For The Heart | Alexandra Kay | source:amperwave-api
2026-04-13T08:28:07.915509+00:00 | Straight For The Heart | Alexandra Kay | source:amperwave-api
2026-04-13T08:28:43.210843+00:00 | All American Girl | Carrie Underwood | source:amperwave-api
2026-04-13T08:29:27.416842+00:00 | All American Girl | Carrie Underwood | source:amperwave-api
2026-04-13T08:30:02.764095+00:00 | All American Girl | Carrie Underwood | source:amperwave-api
2026-04-13T08:30:38.120073+00:00 | All American Girl | Carrie Underwood | source:amperwave-api
2026-04-13T08:31:13.889462+00:00 | All American Girl | Carrie Underwood | source:amperwave-api
2026-04-13T08:31:49.287679+00:00 | All American Girl | Carrie Underwood | source:amperwave-api
2026-04-13T08:32:47.535332+00:00 | Sleepless In A Hotel Room | Luke Combs | source:amperwave-api
2026-04-13T08:33:24.788836+00:00 | Sleepless In A Hotel Room | Luke Combs | source:amperwave-api
2026-04-13T08:34:21.476961+00:00 | Sleepless In A Hotel Room | Luke Combs | source:amperwave-api
