2026-04-19T05:50:46.574371+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T05:51:26.593837+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T05:52:03.182193+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T05:52:38.555402+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T05:53:24.359202+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T05:53:59.432550+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T05:54:34.188096+00:00 | Dance The Night | Dua Lipa | source:amperwave-api
2026-04-19T05:55:20.879116+00:00 | Dance The Night | Dua Lipa | source:amperwave-api
2026-04-19T05:55:56.182191+00:00 | Dance The Night | Dua Lipa | source:amperwave-api
2026-04-19T05:56:30.856540+00:00 | Dance The Night | Dua Lipa | source:amperwave-api
2026-04-19T05:57:18.240841+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T05:57:53.435186+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T05:58:28.502169+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T05:59:03.340940+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T05:59:38.336291+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T06:00:14.643333+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T06:00:49.882779+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T06:01:24.527501+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T06:01:59.332968+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T06:02:34.435382+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T06:03:09.221180+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T06:03:44.743494+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T06:04:19.713522+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T06:04:55.083510+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T06:05:31.485876+00:00 | Roommates | Hillary Duff | source:amperwave-api
2026-04-19T06:06:39.792519+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:07:15.851654+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:07:50.961254+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:08:36.846300+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:09:12.665905+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:09:47.290864+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:10:39.248364+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-19T06:11:15.114241+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-19T06:11:50.219262+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-19T06:12:32.898306+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-19T06:13:08.343641+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T06:13:43.826251+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T06:14:25.597082+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T06:15:00.289505+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T06:15:36.451310+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T06:16:15.889332+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:16:51.150876+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:17:27.104336+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:18:01.558122+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:18:36.270670+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:19:11.504269+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:19:46.145378+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:20:20.629844+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T06:20:55.192489+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T06:21:30.127249+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T06:22:04.237408+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T06:22:38.798742+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T06:23:13.576122+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T06:23:49.234301+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T06:24:33.447645+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T06:25:08.228155+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T06:25:48.895350+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T06:26:41.099955+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T06:27:32.943037+00:00 | Sexy For Me | Jason Derulo | source:amperwave-api
2026-04-19T06:28:30.882433+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T06:29:06.473550+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T06:29:42.030455+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T06:30:32.940861+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T06:31:09.124238+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-19T06:31:43.617709+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-19T06:32:42.094869+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-19T06:33:17.249051+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-19T06:33:52.460408+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-19T06:34:39.999702+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T06:35:14.667916+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T06:35:50.498375+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T06:36:24.893748+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T06:37:00.219218+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T06:37:36.312951+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T06:38:12.183927+00:00 | Go! | Cortis | source:amperwave-api
2026-04-19T06:38:48.283931+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:39:24.179609+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:39:59.011246+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:40:34.380479+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:41:09.373444+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:41:45.105389+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:42:20.920010+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:42:56.406319+00:00 | Heal | Monsta X | source:amperwave-api
2026-04-19T06:43:36.674833+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:44:11.128450+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:44:46.629889+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:45:36.793786+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:46:11.524324+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:46:45.966050+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T06:47:32.149832+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T06:48:06.656146+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T06:48:41.949124+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T06:49:32.961000+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T06:50:08.714730+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T06:50:44.724588+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T06:51:26.522299+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T06:52:01.573828+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T06:52:36.737755+00:00 | Dont Call | Kun | source:amperwave-api
2026-04-19T06:53:16.577610+00:00 | Titanium | David Guetta | source:amperwave-api
2026-04-19T06:53:52.730768+00:00 | Titanium | David Guetta | source:amperwave-api
2026-04-19T06:54:27.917621+00:00 | Titanium | David Guetta | source:amperwave-api
2026-04-19T06:55:02.561560+00:00 | Titanium | David Guetta | source:amperwave-api
2026-04-19T06:55:37.010531+00:00 | Titanium | David Guetta | source:amperwave-api
2026-04-19T06:56:13.385056+00:00 | Titanium | David Guetta | source:amperwave-api
2026-04-19T06:56:48.334113+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-19T06:57:23.699813+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-19T06:57:58.783483+00:00 | Million Dollar Baby | Tommy Richman | source:amperwave-api
2026-04-19T06:58:34.570669+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T06:59:09.330020+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T06:59:44.734851+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T07:00:20.044667+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T07:00:59.639195+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T07:01:37.645380+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T07:02:12.658104+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T07:02:47.373410+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T07:03:47.289583+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T07:04:22.015222+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T07:04:56.999399+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-19T07:06:04.025930+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-19T07:06:40.097570+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-19T07:07:16.834606+00:00 | Earrings | Malcom Todd | source:amperwave-api
2026-04-19T07:08:09.518218+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T07:08:45.102407+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T07:09:20.478785+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T07:10:17.309773+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T07:10:52.869207+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T07:11:28.712976+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-19T07:12:22.173864+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-19T07:12:56.848942+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-19T07:13:31.772826+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-19T07:14:06.597985+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T07:14:41.260014+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T07:15:16.877677+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T07:15:52.238718+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T07:16:27.390481+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T07:17:02.351101+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T07:17:37.401853+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:18:14.155967+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:18:49.570090+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:19:23.837417+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:19:58.842249+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:20:34.001238+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:21:35.494528+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:22:10.545179+00:00 | Need Your Love | One Republic | source:amperwave-api
2026-04-19T07:22:45.894784+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T07:23:39.614347+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T07:24:15.013214+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T07:24:49.626572+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T07:25:46.282959+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T07:26:26.756360+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T07:27:01.967197+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T07:27:47.259727+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T07:28:22.351228+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T07:28:57.642054+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T07:29:48.001894+00:00 | Go | Blackpink | source:amperwave-api
2026-04-19T07:30:22.889208+00:00 | Go | Blackpink | source:amperwave-api
2026-04-19T07:30:57.822451+00:00 | Go | Blackpink | source:amperwave-api
2026-04-19T07:31:48.782184+00:00 | Go | Blackpink | source:amperwave-api
2026-04-19T07:32:26.829579+00:00 | Go | Blackpink | source:amperwave-api
2026-04-19T07:33:02.336340+00:00 | Stateside | Pinkpatheress | source:amperwave-api
2026-04-19T07:33:37.601454+00:00 | Stateside | Pinkpatheress | source:amperwave-api
2026-04-19T07:34:13.252958+00:00 | Stateside | Pinkpatheress | source:amperwave-api
2026-04-19T07:34:48.890651+00:00 | Stateside | Pinkpatheress | source:amperwave-api
2026-04-19T07:35:25.639281+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T07:36:00.899884+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T07:36:36.454024+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T07:37:11.337841+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T07:37:46.268168+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T07:38:21.419575+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T07:38:56.841501+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T07:39:31.263512+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T07:40:35.567340+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T07:41:10.310750+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T07:41:46.000989+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T07:42:28.380316+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T07:43:03.568027+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T07:43:38.586362+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-19T07:44:20.305045+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T07:44:55.836898+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T07:45:30.540675+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T07:46:18.157025+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T07:46:52.606951+00:00 | What You Saying | Lil Uzi Vert | source:amperwave-api
2026-04-19T07:47:28.451993+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T07:48:13.464158+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-19T07:48:48.421498+00:00 | Ordinary | Alex Warren | source:amperwave-api
