2026-04-18T14:25:36.700603+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T14:26:14.739517+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T14:26:50.246847+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T14:27:27.307765+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T14:28:04.076721+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T14:28:42.685872+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T14:29:20.575761+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-18T14:29:57.465607+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T14:30:33.056955+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T14:31:37.389133+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T14:32:13.509840+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T14:32:50.094256+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T14:33:46.582857+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-18T14:34:21.875444+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-18T14:34:57.974396+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-18T14:35:52.578597+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-18T14:36:28.489642+00:00 | Camera | Ed Sheeran | source:amperwave-api
2026-04-18T14:37:05.308183+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-18T14:37:57.174084+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-18T14:38:32.816515+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-18T14:39:10.617659+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-18T14:39:58.049129+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-18T14:40:34.701872+00:00 | Die With A Smile | Lady Gaga X Bruno Mars | source:amperwave-api
2026-04-18T14:41:11.100008+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T14:42:00.900157+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T14:42:37.408258+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T14:43:13.800394+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T14:43:53.109019+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-18T14:44:29.201574+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T14:45:05.717053+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T14:45:42.151696+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T14:46:18.629132+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T14:46:59.059980+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T14:47:36.959033+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T14:48:13.099493+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:48:49.307676+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:49:24.904455+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:50:01.237000+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:50:57.072362+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:51:36.002206+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:52:39.648107+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:53:16.728399+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:53:52.855639+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:54:42.263671+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:55:17.850906+00:00 | Mr. Brightside | The Killers | source:amperwave-api
2026-04-18T14:55:53.413171+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-18T14:56:44.478966+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-18T14:57:22.247442+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-18T14:58:01.783799+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
2026-04-18T14:58:53.423639+00:00 | It Depends | Chris Brown X Bryson Tiller | source:amperwave-api
