2026-04-13T18:06:45.735983+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-13T18:07:21.769728+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-13T18:07:56.699915+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-13T18:08:51.217870+00:00 | Hot To Go! | Chappell Roan | source:amperwave-api
2026-04-13T18:09:26.937941+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-13T18:10:02.640657+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-13T18:10:46.080748+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-13T18:11:20.690623+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-13T18:11:56.473879+00:00 | Better Now | Post Malone | source:amperwave-api
2026-04-13T18:12:32.376861+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-13T18:13:10.540092+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-13T18:14:13.299085+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-13T18:14:48.402671+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-13T18:15:23.431580+00:00 | Twilight Zone | Ariana Grande | source:amperwave-api
2026-04-13T18:15:58.625109+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-13T18:16:34.146435+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-13T18:17:09.888864+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-13T18:17:45.132514+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-13T18:18:20.059933+00:00 | Dracula | Tame Impala | source:amperwave-api
2026-04-13T18:18:54.499751+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T18:19:30.382290+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T18:20:06.602142+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T18:20:42.469684+00:00 | So Easy | Olivia Dean | source:amperwave-api
2026-04-13T18:21:35.026435+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-13T18:22:11.022810+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-13T18:22:46.321261+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-13T18:23:23.029152+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-13T18:23:58.633665+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-13T18:24:34.237719+00:00 | Damn I Love Miami | Pitbull Feat. Lil Jon | source:amperwave-api
2026-04-13T18:25:14.716993+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-13T18:25:50.107849+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-13T18:26:52.117222+00:00 | Taste | Sabrina Carpenter | source:amperwave-api
2026-04-13T18:27:28.311939+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-13T18:28:03.558154+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-13T18:28:44.325773+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-13T18:29:19.017783+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-13T18:29:54.314943+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-13T18:30:36.947165+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-13T18:31:13.422082+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-13T18:31:48.838920+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-13T18:32:24.350612+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-13T18:32:59.785063+00:00 | As It Was | Harry Styles | source:amperwave-api
2026-04-13T18:33:36.319763+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-13T18:34:11.728156+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-13T18:34:48.473275+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-13T18:35:24.595215+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-13T18:36:00.926201+00:00 | What I Want | Morgan Wallen X Tate Mcrae | source:amperwave-api
2026-04-13T18:36:36.977672+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-13T18:37:12.546570+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-13T18:37:48.580780+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-13T18:38:34.824629+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-13T18:39:10.465511+00:00 | Love Me Not | Ravyn Lenae | source:amperwave-api
2026-04-13T18:39:45.728624+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-13T18:40:23.302907+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-13T18:40:58.501013+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-13T18:42:00.222491+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-13T18:42:35.774676+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:43:10.978946+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:43:46.775212+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:44:23.434415+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:45:23.534077+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:45:59.860113+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:46:35.130530+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:47:12.800812+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:47:50.029699+00:00 | Larger Than Life | Backstreet Boys | source:amperwave-api
2026-04-13T18:48:26.714808+00:00 | Creepin | Metro Boomin / The Weeknd / 21 Savage | source:amperwave-api
2026-04-13T18:49:02.506818+00:00 | Creepin | Metro Boomin / The Weeknd / 21 Savage | source:amperwave-api
2026-04-13T18:49:39.455796+00:00 | Creepin | Metro Boomin / The Weeknd / 21 Savage | source:amperwave-api
2026-04-13T18:50:15.276274+00:00 | Creepin | Metro Boomin / The Weeknd / 21 Savage | source:amperwave-api
2026-04-13T18:50:50.997874+00:00 | Creepin | Metro Boomin / The Weeknd / 21 Savage | source:amperwave-api
2026-04-13T18:51:26.476888+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-13T18:52:02.321243+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-13T18:52:37.660335+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-13T18:53:13.378254+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-13T18:53:49.964261+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-13T18:54:34.801792+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-13T18:55:10.292872+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-13T18:55:46.156089+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-13T18:56:22.308003+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-13T18:56:57.671252+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-13T18:57:59.425053+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-13T18:58:35.870215+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-13T18:59:10.773888+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-13T18:59:48.337875+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-13T19:00:23.030498+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-13T19:00:59.674712+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-13T19:01:36.792308+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T19:02:12.972374+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T19:03:15.513564+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T19:03:52.473109+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T19:04:28.173297+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-13T19:05:03.934838+00:00 | Super Freaky Girl | Nicki Minaj | source:amperwave-api
2026-04-13T19:05:39.801519+00:00 | Super Freaky Girl | Nicki Minaj | source:amperwave-api
2026-04-13T19:06:15.087288+00:00 | Super Freaky Girl | Nicki Minaj | source:amperwave-api
2026-04-13T19:06:51.184407+00:00 | Super Freaky Girl | Nicki Minaj | source:amperwave-api
2026-04-13T19:07:26.205049+00:00 | Super Freaky Girl | Nicki Minaj | source:amperwave-api
2026-04-13T19:08:01.356039+00:00 | Eastside | Benny Blanco | source:amperwave-api
2026-04-13T19:08:36.523123+00:00 | Eastside | Benny Blanco | source:amperwave-api
2026-04-13T19:09:11.639699+00:00 | Eastside | Benny Blanco | source:amperwave-api
2026-04-13T19:09:47.912799+00:00 | Eastside | Benny Blanco | source:amperwave-api
2026-04-13T19:10:32.631341+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-13T19:11:07.429046+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-13T19:11:42.035833+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-13T19:12:17.500881+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-13T19:12:53.449522+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-13T19:13:52.310767+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-13T19:14:27.639062+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-13T19:15:02.845851+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-13T19:15:47.037634+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-13T19:16:23.545766+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-13T19:17:27.905662+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-13T19:18:13.105463+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-13T19:19:16.989721+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:19:52.679219+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:20:28.009334+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:21:03.502262+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:21:39.617489+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:22:15.750925+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:22:50.971392+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:23:26.013778+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:24:01.508763+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-13T19:24:36.468144+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-13T19:25:12.069214+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-13T19:25:47.454641+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-13T19:26:33.397133+00:00 | End Of Beginning | Djo | source:amperwave-api
2026-04-13T19:27:09.014775+00:00 | Risk It All | Bruno Mars | source:amperwave-api
