2026-04-18T07:32:41.004986+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T07:33:16.838283+00:00 | New Religion | Bebe Rexha | source:amperwave-api
2026-04-18T07:33:51.976487+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T07:34:27.159960+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T07:35:02.386547+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T07:35:37.633586+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T07:36:13.421169+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T07:36:49.375292+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-18T07:37:25.142904+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:38:00.633779+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:38:35.869606+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:39:11.806792+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:39:47.894806+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:40:31.662774+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:41:10.496911+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:41:47.665316+00:00 | Midnight Sun | Zara Larsson | source:amperwave-api
2026-04-18T07:42:30.512545+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T07:43:07.832738+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T07:43:43.869982+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T07:44:27.821859+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T07:45:04.235949+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T07:45:39.555453+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-18T07:46:26.101929+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T07:47:04.242746+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T07:47:39.660621+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T07:48:19.634928+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T07:48:57.625389+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-18T07:49:33.595123+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:50:12.560292+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:50:49.742687+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:51:25.214859+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:52:00.673856+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:52:36.191915+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:53:11.760212+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T07:53:47.841313+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:54:23.972885+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:55:00.019461+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:55:36.303632+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:56:12.506221+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:56:48.518218+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-18T07:57:24.200491+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-18T07:58:00.911285+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-18T07:58:36.354497+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-18T07:59:28.974619+00:00 | Sunflower | Post Malone | source:amperwave-api
2026-04-18T08:00:05.445503+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:00:41.946932+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:01:27.278839+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:02:05.372706+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:02:40.312638+00:00 | Stargazing | Myles Smith | source:amperwave-api
2026-04-18T08:03:29.728333+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T08:04:07.699604+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T08:04:43.616332+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T08:05:25.344670+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T08:06:02.364701+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T08:06:38.777535+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-18T08:07:21.455582+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T08:07:58.748120+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T08:08:34.572537+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T08:09:16.874558+00:00 | Blink | Corbyn Besson | source:amperwave-api
2026-04-18T08:09:53.957175+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T08:10:30.337292+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T08:11:06.608785+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T08:11:46.269690+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T08:12:22.014848+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-18T08:12:57.603753+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T08:13:33.515547+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T08:14:09.512294+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T08:14:45.432955+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-18T08:15:21.495182+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T08:15:57.583200+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T08:16:33.228445+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T08:17:34.245498+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T08:18:13.066657+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-18T08:18:50.426513+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:19:32.137740+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:20:09.126373+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:20:45.195702+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:21:34.236385+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:22:12.815788+00:00 | Drop Dead | Olivia Rodrigo | source:amperwave-api
2026-04-18T08:22:47.978308+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T08:23:36.290240+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T08:24:13.393134+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T08:24:48.600129+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T08:25:42.206643+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-18T08:26:17.788432+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:26:53.956093+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:27:49.419365+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:28:26.240263+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:29:01.201687+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:29:36.194313+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:30:18.856144+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:31:06.833750+00:00 | Roommates | Hilary Duff | source:amperwave-api
2026-04-18T08:31:42.993219+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T08:32:19.099451+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T08:32:56.312598+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T08:33:31.863326+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-18T08:34:06.673990+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T08:34:51.947179+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T08:35:27.883454+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T08:36:28.958756+00:00 | Pretty Faces | Paper Money | source:amperwave-api
2026-04-18T08:37:07.338854+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:37:42.419142+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:38:29.052851+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:39:06.000990+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:39:41.445311+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-18T08:40:33.026278+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:41:08.280889+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:41:43.996336+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:42:33.336100+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:43:09.643649+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:43:45.507130+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:44:31.756852+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:45:07.502633+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:45:42.858554+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-18T08:46:28.251313+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:47:05.950938+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:47:41.073228+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:48:16.389585+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:48:51.208637+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-18T08:49:26.562001+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:50:01.912889+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:50:37.644874+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:51:13.884004+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:51:49.071711+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:52:24.992095+00:00 | Stateside Ft Zara Larsson | Pink Pantheress | source:amperwave-api
2026-04-18T08:52:59.943518+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:53:35.179167+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:54:10.556400+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:54:46.920206+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:55:30.983486+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:56:06.618908+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-18T08:56:42.547100+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:57:26.497421+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:58:02.743927+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:58:39.121890+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T08:59:39.061355+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-18T09:00:14.600733+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T09:00:49.547801+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T09:01:42.068710+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T09:02:21.799381+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T09:02:57.334347+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T09:03:42.982947+00:00 | The Hills | The Weeknd | source:amperwave-api
2026-04-18T09:04:20.269309+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-18T09:04:57.547029+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-18T09:05:43.428447+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-18T09:06:19.334087+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-18T09:06:55.144759+00:00 | Daisies | Justin Bieber | source:amperwave-api
