2026-04-19T16:48:29.850001+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T16:49:17.155967+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T16:50:04.541164+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T16:50:46.712011+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:52:01.403480+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:52:44.182495+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:53:30.351311+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:54:16.787139+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:54:57.427537+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:55:38.424042+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:56:40.438831+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:57:20.332157+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:58:00.975471+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:58:41.403704+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:59:22.547441+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T17:00:02.739972+00:00 | I Like You (A Happier Song) | Post Malone [ ] Doja Cat | source:amperwave-api
2026-04-19T17:00:44.361042+00:00 | I Like You (A Happier Song) | Post Malone [ ] Doja Cat | source:amperwave-api
2026-04-19T17:01:25.138871+00:00 | I Like You (A Happier Song) | Post Malone [ ] Doja Cat | source:amperwave-api
2026-04-19T17:02:08.078666+00:00 | I Like You (A Happier Song) | Post Malone [ ] Doja Cat | source:amperwave-api
2026-04-19T17:02:52.048897+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:03:35.651153+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:04:35.640259+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:05:17.879799+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:06:04.796331+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:07:19.593876+00:00 | Nothin On You | B.O.B. [ ] Bruno Mars | source:amperwave-api
2026-04-19T17:08:00.927027+00:00 | Nothin On You | B.O.B. [ ] Bruno Mars | source:amperwave-api
2026-04-19T17:08:52.317663+00:00 | Nothin On You | B.O.B. [ ] Bruno Mars | source:amperwave-api
2026-04-19T17:09:31.946823+00:00 | Nothin On You | B.O.B. [ ] Bruno Mars | source:amperwave-api
2026-04-19T17:10:13.023956+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T17:10:58.285951+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T17:11:45.690168+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T17:12:25.252692+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T17:13:35.061212+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:14:18.128303+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:15:08.757611+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:15:49.110837+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:16:30.572240+00:00 | Cry For Me | The Weeknd | source:amperwave-api
2026-04-19T17:17:10.982291+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T17:17:51.859765+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T17:18:38.449777+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T17:19:20.790270+00:00 | Positions | Ariana Grande | source:amperwave-api
2026-04-19T17:20:01.749074+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:20:42.248327+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:21:23.473531+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:22:03.895910+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:22:44.555776+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:23:35.322761+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:24:15.912605+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:25:03.932457+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:26:05.073191+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:26:45.976685+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:27:47.969537+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:28:28.203174+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:29:10.000623+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-19T17:29:53.711300+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:30:34.888799+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:31:41.431767+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:32:23.171691+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:33:03.933048+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:33:48.006307+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:34:32.883491+00:00 | What It Is (Block Boy) | Doechii | source:amperwave-api
2026-04-19T17:35:13.518470+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:35:54.134061+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:36:40.447396+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:37:20.652062+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:38:03.514732+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T17:38:43.095441+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:39:23.778184+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:40:04.333175+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:40:48.120909+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:41:32.871725+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:42:34.355472+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:43:14.074961+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:43:54.816469+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:45:04.172657+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T17:45:43.603389+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:46:37.432690+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:47:17.475507+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:47:57.905741+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:48:48.801746+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T17:49:30.659450+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T17:50:41.328037+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T17:51:23.013827+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:52:42.311837+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:53:24.794143+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:54:04.080931+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:54:46.842792+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-19T17:55:27.663987+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:56:09.666949+00:00 | Omg | Usher | source:amperwave-api
2026-04-19T17:56:49.658057+00:00 | Omg | Usher | source:amperwave-api
