2026-04-19T17:05:27.387378+00:00 | Babydoll | Dominic Fike | source:amperwave-api
2026-04-19T17:06:43.106130+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T17:07:24.289048+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T17:08:05.462438+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T17:08:56.878785+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T17:09:36.257302+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:10:17.517649+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:11:03.696870+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:11:49.910802+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-19T17:12:56.430305+00:00 | Where Is My Husband? | Raye | source:amperwave-api
2026-04-19T17:13:40.076428+00:00 | Where Is My Husband? | Raye | source:amperwave-api
2026-04-19T17:14:23.201313+00:00 | Where Is My Husband? | Raye | source:amperwave-api
2026-04-19T17:15:13.677361+00:00 | Where Is My Husband? | Raye | source:amperwave-api
2026-04-19T17:15:53.921289+00:00 | How It'S Done | Huntr/X | source:amperwave-api
2026-04-19T17:16:34.817865+00:00 | How It'S Done | Huntr/X | source:amperwave-api
2026-04-19T17:17:15.684603+00:00 | How It'S Done | Huntr/X | source:amperwave-api
2026-04-19T17:18:01.750137+00:00 | How It'S Done | Huntr/X | source:amperwave-api
2026-04-19T17:18:43.707031+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:19:25.311153+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:20:06.312652+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:20:46.788769+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:21:27.791566+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:22:08.421989+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:22:48.829442+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:23:40.137154+00:00 | Lobby | Smith | source:amperwave-api
2026-04-19T17:24:26.972738+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T17:25:08.425418+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T17:26:09.743227+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T17:26:50.232817+00:00 | Die On This Hill | Sienna Spiro | source:amperwave-api
2026-04-19T17:27:52.992135+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:28:32.769360+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:29:14.837431+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:29:58.225499+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:30:40.081403+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T17:31:46.658229+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-19T17:32:27.428555+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-19T17:33:09.133054+00:00 | Stateside | Pink Pantheress | source:amperwave-api
2026-04-19T17:33:54.182601+00:00 | What I Want | Morgan Wallen Ft Tate Mcrae | source:amperwave-api
2026-04-19T17:34:37.837180+00:00 | What I Want | Morgan Wallen Ft Tate Mcrae | source:amperwave-api
2026-04-19T17:35:17.479611+00:00 | What I Want | Morgan Wallen Ft Tate Mcrae | source:amperwave-api
2026-04-19T17:36:03.689148+00:00 | What I Want | Morgan Wallen Ft Tate Mcrae | source:amperwave-api
2026-04-19T17:36:45.133621+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T17:37:27.065134+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T17:38:07.478052+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T17:38:47.495343+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T17:39:27.671166+00:00 | Iloveitiloveitiloveit | Bella Kay | source:amperwave-api
2026-04-19T17:40:11.306766+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T17:40:52.467756+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T17:41:37.590758+00:00 | When Did You Get Hot? | Sabrina Carpenter | source:amperwave-api
2026-04-19T17:42:38.654718+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T17:43:18.091376+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T17:44:27.739917+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T17:45:08.448826+00:00 | Elizabeth Taylor | Taylor Swift | source:amperwave-api
2026-04-19T17:45:47.327351+00:00 | Roomates | Hilary Duff | source:amperwave-api
2026-04-19T17:46:42.380505+00:00 | Roomates | Hilary Duff | source:amperwave-api
2026-04-19T17:47:21.566568+00:00 | Roomates | Hilary Duff | source:amperwave-api
2026-04-19T17:48:02.583475+00:00 | Roomates | Hilary Duff | source:amperwave-api
2026-04-19T17:48:53.333388+00:00 | Roomates | Hilary Duff | source:amperwave-api
2026-04-19T17:49:39.567754+00:00 | Roomates | Hilary Duff | source:amperwave-api
2026-04-19T17:50:46.774614+00:00 | Undressesd | Sombr | source:amperwave-api
2026-04-19T17:51:27.263657+00:00 | Undressesd | Sombr | source:amperwave-api
2026-04-19T17:52:48.406211+00:00 | Undressesd | Sombr | source:amperwave-api
2026-04-19T17:53:28.829822+00:00 | Undressesd | Sombr | source:amperwave-api
2026-04-19T17:54:08.377979+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T17:54:51.927247+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T17:55:32.189419+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T17:56:14.008744+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T17:56:54.944410+00:00 | Dracula [Rmx] | Tame Impala Ft Jennie | source:amperwave-api
2026-04-19T17:57:36.162657+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T17:58:15.992136+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T17:58:57.975410+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T17:59:38.439352+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T18:00:19.706620+00:00 | Tokyo Drift | One Or Eight | source:amperwave-api
2026-04-19T18:01:01.272146+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:02:03.783202+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:02:43.387090+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:03:42.215945+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T18:04:21.737537+00:00 | Mutt (Cb Rmx) | Leon Thomas | source:amperwave-api
2026-04-19T18:05:02.803318+00:00 | Mutt (Cb Rmx) | Leon Thomas | source:amperwave-api
2026-04-19T18:05:56.967983+00:00 | Mutt (Cb Rmx) | Leon Thomas | source:amperwave-api
2026-04-19T18:06:37.937020+00:00 | Mutt (Cb Rmx) | Leon Thomas | source:amperwave-api
2026-04-19T18:07:46.317692+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T18:08:28.758089+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T18:09:10.012417+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T18:09:55.819992+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-19T18:10:42.459388+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-19T18:11:50.655294+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-19T18:12:31.993925+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-19T18:13:12.480013+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-19T18:13:52.395492+00:00 | Greedy | Tate Mcrae | source:amperwave-api
2026-04-19T18:14:37.912538+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T18:15:19.209198+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T18:16:01.570735+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T18:16:42.153941+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T18:17:22.806677+00:00 | Homewrecker | Sombr | source:amperwave-api
2026-04-19T18:18:10.430642+00:00 | Blink | Corbyn Besson Ft Tzuyu | source:amperwave-api
2026-04-19T18:18:51.652004+00:00 | Blink | Corbyn Besson Ft Tzuyu | source:amperwave-api
2026-04-19T18:19:38.141460+00:00 | Blink | Corbyn Besson Ft Tzuyu | source:amperwave-api
2026-04-19T18:20:44.872669+00:00 | Mystical Magical | Benson Boone | source:amperwave-api
2026-04-19T18:21:31.275539+00:00 | Mystical Magical | Benson Boone | source:amperwave-api
2026-04-19T18:22:42.529210+00:00 | Mystical Magical | Benson Boone | source:amperwave-api
2026-04-19T18:23:23.579991+00:00 | Mystical Magical | Benson Boone | source:amperwave-api
2026-04-19T18:24:03.604971+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T18:24:55.647904+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T18:25:35.596693+00:00 | Silent Treatment | Freya Skye | source:amperwave-api
2026-04-19T18:26:17.396747+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:27:00.584688+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:27:41.823204+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:28:52.344893+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T18:29:36.599170+00:00 | Unstoppable | Sia | source:amperwave-api
2026-04-19T18:30:49.652631+00:00 | Unstoppable | Sia | source:amperwave-api
2026-04-19T18:31:36.481259+00:00 | Unstoppable | Sia | source:amperwave-api
2026-04-19T18:32:18.194217+00:00 | Unstoppable | Sia | source:amperwave-api
2026-04-19T18:33:09.414488+00:00 | Unstoppable | Sia | source:amperwave-api
2026-04-19T18:33:51.312471+00:00 | Unstoppable | Sia | source:amperwave-api
2026-04-19T18:34:43.030252+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T18:35:25.847901+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T18:36:05.763093+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T18:36:46.056627+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T18:37:36.904185+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T18:38:26.663544+00:00 | Pink Pony Club | Chappel Roan | source:amperwave-api
2026-04-19T18:39:38.168087+00:00 | My House | Flo Rida | source:amperwave-api
2026-04-19T18:40:25.870070+00:00 | My House | Flo Rida | source:amperwave-api
2026-04-19T18:41:36.305042+00:00 | My House | Flo Rida | source:amperwave-api
2026-04-19T18:42:23.740622+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T18:43:25.663047+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T18:44:13.149232+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T18:44:54.820825+00:00 | Midnight Sun | Zara Larson | source:amperwave-api
2026-04-19T18:45:50.503708+00:00 | Where Is My Husband? | Raye | source:amperwave-api
2026-04-19T18:46:36.561231+00:00 | Where Is My Husband? | Raye | source:amperwave-api
2026-04-19T18:47:52.275503+00:00 | Where Is My Husband? | Raye | source:amperwave-api
2026-04-19T18:48:34.548722+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T18:49:14.246515+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T18:49:59.713637+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T18:50:40.693809+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T18:51:30.963600+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T18:52:16.952386+00:00 | Please Please Please | Sabrina Carpenter | source:amperwave-api
2026-04-19T18:53:00.819023+00:00 | Please Please Please | Sabrina Carpenter | source:amperwave-api
2026-04-19T18:53:42.819282+00:00 | Please Please Please | Sabrina Carpenter | source:amperwave-api
2026-04-19T18:54:25.021099+00:00 | Please Please Please | Sabrina Carpenter | source:amperwave-api
2026-04-19T18:55:05.483392+00:00 | Starboy | The Weeknd Feat. Daft Punk | source:amperwave-api
2026-04-19T18:55:48.413041+00:00 | Starboy | The Weeknd Feat. Daft Punk | source:amperwave-api
2026-04-19T18:56:33.827161+00:00 | Starboy | The Weeknd Feat. Daft Punk | source:amperwave-api
2026-04-19T18:57:16.213419+00:00 | Starboy | The Weeknd Feat. Daft Punk | source:amperwave-api
2026-04-19T18:58:37.723600+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T18:59:18.813068+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T19:00:25.692993+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T19:01:09.943722+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-19T19:01:51.140892+00:00 | Go! | Blackpink | source:amperwave-api
2026-04-19T19:02:35.988983+00:00 | Go! | Blackpink | source:amperwave-api
2026-04-19T19:03:22.676300+00:00 | Go! | Blackpink | source:amperwave-api
2026-04-19T19:04:35.592021+00:00 | Go! | Blackpink | source:amperwave-api
2026-04-19T19:05:17.804220+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T19:05:59.077832+00:00 | Swim | Bts | source:amperwave-api
2026-04-19T19:06:42.534753+00:00 | Swim | Bts | source:amperwave-api
