2026-04-16T01:17:40.439843+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:18:19.987733+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:19:00.610734+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:19:38.521878+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:20:18.777578+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:20:59.362921+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:21:39.597856+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:22:19.958901+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:23:00.898281+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:23:37.666806+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:24:13.384533+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:24:50.005443+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:26:15.547184+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:26:59.221848+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:27:39.341602+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:28:16.702752+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:28:55.960708+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:29:37.566449+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:30:53.896227+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:31:33.108806+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:32:12.906260+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:32:53.581207+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:33:33.452057+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:34:14.351392+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:35:21.296236+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:36:00.452708+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:36:40.611859+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:37:20.829090+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:38:00.857855+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:38:40.554340+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:39:19.847396+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:39:57.226197+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:40:36.187024+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:41:15.359796+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
2026-04-16T01:41:54.497303+00:00 | Even If It Breaks Your Heart | Eli Young Band | source:amperwave-api
