2026-04-13T00:33:33.074345+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T00:34:08.743030+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-13T00:34:46.502031+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-13T00:35:22.318282+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-13T00:35:59.095177+00:00 | Temperature | Sean Paul | source:amperwave-api
2026-04-13T00:36:34.744704+00:00 | Temperature | Sean Paul | source:amperwave-api
2026-04-13T00:37:11.492551+00:00 | Temperature | Sean Paul | source:amperwave-api
2026-04-13T00:37:46.950422+00:00 | Temperature | Sean Paul | source:amperwave-api
2026-04-13T00:38:22.458946+00:00 | Temperature | Sean Paul | source:amperwave-api
2026-04-13T00:38:58.018656+00:00 | Temperature | Sean Paul | source:amperwave-api
2026-04-13T00:39:32.861703+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-13T00:40:28.548906+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-13T00:41:03.928261+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-13T00:41:39.354617+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-13T00:42:15.335553+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-13T00:42:50.660355+00:00 | Opalite | Taylor Swift | source:amperwave-api
2026-04-13T00:43:25.529726+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:44:00.433743+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:44:35.649017+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:45:10.607124+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:46:14.186684+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:46:49.630660+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:47:25.337245+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:48:01.043892+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:48:55.838351+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:49:31.685377+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:50:07.293117+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:50:42.609736+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:51:17.557401+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:51:53.005355+00:00 | American Girls | Harry Styles | source:amperwave-api
2026-04-13T00:52:28.428956+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T00:53:03.648061+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T00:53:38.108060+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T00:54:13.348300+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T00:54:54.789332+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T00:55:30.881372+00:00 | Stateside [Remix] | Pink Pantheress Ft Zara Larson | source:amperwave-api
2026-04-13T00:56:27.571493+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T00:57:06.019773+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T00:57:41.702003+00:00 | Ordinary | Alex Warren | source:amperwave-api
2026-04-13T00:58:44.825703+00:00 | Latch | Disclosure / Sam Smith | source:amperwave-api
2026-04-13T00:59:25.185124+00:00 | Latch | Disclosure / Sam Smith | source:amperwave-api
2026-04-13T01:00:00.746697+00:00 | Latch | Disclosure / Sam Smith | source:amperwave-api
2026-04-13T01:00:36.301293+00:00 | Latch | Disclosure / Sam Smith | source:amperwave-api
2026-04-13T01:01:11.829322+00:00 | Latch | Disclosure / Sam Smith | source:amperwave-api
2026-04-13T01:01:49.426104+00:00 | Latch | Disclosure / Sam Smith | source:amperwave-api
2026-04-13T01:02:26.271859+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-13T01:03:24.073861+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-13T01:04:01.769900+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-13T01:04:37.990610+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-13T01:05:13.599201+00:00 | Wheres My Husband | Raye | source:amperwave-api
2026-04-13T01:05:49.337825+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-13T01:06:24.535635+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-13T01:06:59.283802+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-13T01:07:34.028500+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-13T01:08:09.180045+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-13T01:08:45.587511+00:00 | Starboy | The Weeknd | source:amperwave-api
2026-04-13T01:09:20.778143+00:00 | Back To Friends | Sombr | source:amperwave-api
