2026-04-18T12:26:14.024705+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T12:26:50.152688+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T12:27:38.224458+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T12:28:14.870918+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T12:28:50.134286+00:00 | When I Come Around | Green Day | source:amperwave-api
2026-04-18T12:29:38.326370+00:00 | Blue Collar Man (Long Nights) | Styx | source:amperwave-api
2026-04-18T12:30:14.130389+00:00 | Blue Collar Man (Long Nights) | Styx | source:amperwave-api
2026-04-18T12:30:50.947155+00:00 | Blue Collar Man (Long Nights) | Styx | source:amperwave-api
2026-04-18T12:31:40.338956+00:00 | Blue Collar Man (Long Nights) | Styx | source:amperwave-api
2026-04-18T12:32:17.092996+00:00 | Blue Collar Man (Long Nights) | Styx | source:amperwave-api
2026-04-18T12:32:52.796597+00:00 | Blue Collar Man (Long Nights) | Styx | source:amperwave-api
2026-04-18T12:33:28.677240+00:00 | Blue Collar Man (Long Nights) | Styx | source:amperwave-api
2026-04-18T12:34:03.856477+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:34:40.466568+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:35:16.136993+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:35:53.174323+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:36:29.165726+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:37:05.088222+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:37:41.056965+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:38:17.195340+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:38:53.053077+00:00 | Caught Up In You | .38 Special | source:amperwave-api
2026-04-18T12:39:40.424233+00:00 | Caught Up In You | .38 Special | source:amperwave-api
