2026-04-11T19:16:34.662781+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:17:09.378754+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:17:44.391687+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:18:19.510052+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:18:55.123028+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:19:29.608956+00:00 | Turn The Page | Bob Seger The Silver Bullet Band | source:amperwave-api
2026-04-11T19:20:06.171224+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:20:43.074719+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:21:17.817257+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:21:52.202491+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:22:26.755288+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:23:01.283943+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:24:00.083156+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:24:34.283709+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:25:09.237339+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:25:47.385923+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:26:46.158936+00:00 | You Cant Always Get What You Want | Rolling Stones | source:amperwave-api
2026-04-11T19:27:20.940076+00:00 | Authority Song | John Mellencamp | source:amperwave-api
2026-04-11T19:27:55.796177+00:00 | Authority Song | John Mellencamp | source:amperwave-api
2026-04-11T19:28:32.308588+00:00 | Authority Song | John Mellencamp | source:amperwave-api
2026-04-11T19:29:07.363527+00:00 | Authority Song | John Mellencamp | source:amperwave-api
2026-04-11T19:29:42.671187+00:00 | Authority Song | John Mellencamp | source:amperwave-api
2026-04-11T19:30:17.820734+00:00 | Authority Song | John Mellencamp | source:amperwave-api
2026-04-11T19:30:52.002171+00:00 | Authority Song | John Mellencamp | source:amperwave-api
2026-04-11T19:31:27.855075+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:32:03.877915+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:32:39.021646+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:33:13.896787+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:33:48.552804+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:34:23.602129+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:34:57.796070+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:35:32.087840+00:00 | Bye Bye Love | Cars | source:amperwave-api
2026-04-11T19:36:07.325735+00:00 | No Rain | Blind Melon | source:amperwave-api
2026-04-11T19:36:41.493055+00:00 | No Rain | Blind Melon | source:amperwave-api
2026-04-11T19:37:15.578602+00:00 | No Rain | Blind Melon | source:amperwave-api
2026-04-11T19:37:49.691350+00:00 | No Rain | Blind Melon | source:amperwave-api
2026-04-11T19:38:23.778485+00:00 | No Rain | Blind Melon | source:amperwave-api
