2026-04-12T15:18:52.614819+00:00 | Interstate Love Song | Stone Temple Pilots | source:amperwave-api
2026-04-12T15:19:27.023500+00:00 | Interstate Love Song | Stone Temple Pilots | source:amperwave-api
2026-04-12T15:20:23.875147+00:00 | Interstate Love Song | Stone Temple Pilots | source:amperwave-api
2026-04-12T15:20:59.162147+00:00 | Interstate Love Song | Stone Temple Pilots | source:amperwave-api
2026-04-12T15:21:33.254110+00:00 | Interstate Love Song | Stone Temple Pilots | source:amperwave-api
2026-04-12T15:22:07.289499+00:00 | Dirty Deeds Done Dirt Cheap | Ac/Dc | source:amperwave-api
2026-04-12T15:22:41.492933+00:00 | Dirty Deeds Done Dirt Cheap | Ac/Dc | source:amperwave-api
2026-04-12T15:23:15.612714+00:00 | Dirty Deeds Done Dirt Cheap | Ac/Dc | source:amperwave-api
2026-04-12T15:23:49.510393+00:00 | Dirty Deeds Done Dirt Cheap | Ac/Dc | source:amperwave-api
2026-04-12T15:24:23.109653+00:00 | Dirty Deeds Done Dirt Cheap | Ac/Dc | source:amperwave-api
2026-04-12T15:24:58.047587+00:00 | Dirty Deeds Done Dirt Cheap | Ac/Dc | source:amperwave-api
2026-04-12T15:25:32.424400+00:00 | Dirty Deeds Done Dirt Cheap | Ac/Dc | source:amperwave-api
2026-04-12T15:26:06.409810+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:26:42.041543+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:27:16.624925+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:27:51.028322+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:28:29.212532+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:29:02.863101+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:29:37.037145+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:30:11.939266+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:30:45.723739+00:00 | Lonely Is The Night | Billy Squier | source:amperwave-api
2026-04-12T15:31:45.579331+00:00 | The Waiting | Tom Petty | source:amperwave-api
2026-04-12T15:32:19.430438+00:00 | The Waiting | Tom Petty | source:amperwave-api
2026-04-12T15:32:54.059407+00:00 | The Waiting | Tom Petty | source:amperwave-api
